date,arrivals,search_trends,log_arrivals,log_search_trends,time_idx,diff_1,covid_dummy,lag_1,lag_3,lag_6,lag_12,lag_24,roll_mean_3,roll_mean_6,roll_mean_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2012-09-01,460238,64,13.039501198755396,4.174387269895637,32,-0.13221028237923171,0,13.171711481134627,12.941872144545096,13.23904002345962,12.565909086665917,12.857001023153709,13.055175561569316,13.178712049104348,13.183398501366318,False,False,False,False,False,False,False,True,False,False,False
2012-10-01,495576,64,13.113478019266356,4.174387269895637,33,0.07397682051096055,0,13.039501198755396,13.051943059028227,13.3374763699232,13.158652875664748,12.994693628871111,13.087718579639416,13.145455578320309,13.222864510707106,False,False,False,False,False,False,False,False,True,False,False
2012-11-01,655701,62,13.393461696422444,4.143134726391533,34,0.2799836771560873,0,13.113478019266356,13.171711481134627,13.33022921653532,13.324266948926006,12.96756982431166,13.108230233052126,13.108122519877504,13.219099939340573,False,False,False,False,False,False,False,False,False,True,False
2012-12-01,614673,52,13.32884732494508,3.970291913552122,35,-0.06461437147736326,0,13.393461696422444,13.039501198755396,12.941872144545096,13.293639153559031,13.01604907370193,13.1821469714814,13.118661266525358,13.224866168298613,False,False,False,False,False,False,False,False,False,False,True
2013-01-01,651812,71,13.387512989955038,4.276666119016055,36,0.058665665009957735,0,13.32884732494508,13.113478019266356,13.051943059028227,13.353476685668044,13.135131516682007,13.278595680211295,13.183157129925355,13.227800182580781,False,False,False,False,False,False,False,False,False,False,False
2013-02-01,570476,52,13.254228131958866,3.970291913552122,37,-0.13328485799617162,0,13.387512989955038,13.393461696422444,13.171711481134627,13.43256497128598,13.179340885993021,13.369940670440855,13.23908545174649,13.230636541271364,True,False,False,False,False,False,False,False,False,False,False
2013-03-01,587366,56,13.283405116393233,4.04305126783455,38,0.02917698443436656,0,13.254228131958866,13.32884732494508,13.039501198755396,13.23904002345962,13.072614153484082,13.323529482286327,13.252838226883862,13.215775137994108,False,True,False,False,False,False,False,False,False,False,False
2013-04-01,613919,55,13.327619905480779,4.02535169073515,39,0.044214789087545725,0,13.283405116393233,13.387512989955038,13.113478019266356,13.3374763699232,13.038983942375959,13.308382079435711,13.293488879823501,13.219472229071906,False,False,True,False,False,False,False,False,False,False,False
2013-05-01,558751,54,13.233461004321853,4.007333185232471,40,-0.09415890115892545,0,13.327619905480779,13.254228131958866,13.393461696422444,13.33022921653532,13.083387594253246,13.288417717944291,13.329179194192571,13.218650857035039,False,False,False,True,False,False,False,False,False,False,False
2013-06-01,567291,56,13.248629441329099,4.04305126783455,41,0.015168437007245572,0,13.233461004321853,13.283405116393233,13.32884732494508,12.941872144545096,13.010240045367114,13.28149534206529,13.302512412175808,13.210586839350583,False,False,False,False,True,False,False,False,False,False,False
